Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,20170323:0800,14.8,24,10.8,24,10.9,24,-,-,-,D
4843,20170324:0800,15.8,24,10.6,24,9.8,24,-,-,-,D
4843,20170325:0800,22.0,24,10.9,24,11.5,24,-,-,-,D
4843,20170326:0800,13.7,24,11.2,24,11.1,24,-,-,-,D
4843,20170327:0800,17.5,24,13.1,24,12.9,24,-,-,-,D
4843,20170328:0800,14.6,24,10.4,24,10.3,24,-,-,-,D
4843,20170329:0800,16.9,24,11.2,24,12.3,24,-,-,-,D
4843,20170330:0800,17.2,24,13.1,24,11.5,24,-,-,-,D
4843,20170331:0800,21.2,24,10.7,24,10.5,24,-,-,-,D
4843,20170401:0800,23.0,24,11.4,24,11.7,24,-,-,-,D
4843,20170402:0900,22.8,24,12.2,24,9.4,24,-,-,-,D
4843,20170403:0900,25.1,24,11.0,24,11.6,24,-,-,-,D
4843,20170404:0900,12.3,24,8.9,24,9.5,24,-,-,-,D
4843,20170405:0900,13.4,24,8.6,24,9.0,24,-,-,-,D
4843,20170406:0900,12.2,24,10.1,24,10.8,24,-,-,-,D
4843,20170407:0900,11.2,24,5.6,24,3.7,24,-,-,-,D
4843,20170408:0900,16.8,24,9.0,24,7.3,24,-,-,-,D
4843,20170409:0900,15.7,24,3.5,24,1.7,24,-,-,-,D
4843,20170410:0900,16.6,24,4.0,24,1.6,24,-,-,-,D
4843,20170411:0900,17.5,24,9.6,24,5.5,24,-,-,-,D
4843,20170412:0900,17.0,24,10.1,24,11.8,24,-,-,-,D
4843,20170413:0900,12.9,24,11.5,24,11.4,24,-,-,-,D
4843,20170414:0900,15.1,24,12.5,24,12.4,24,-,-,-,D
4843,20170415:0900,16.9,24,10.9,24,8.0,24,-,-,-,D
4843,20170416:0900,23.1,24,5.3,24,3.1,24,-,-,-,D
4843,20170417:0900,15.5,24,10.1,24,10.4,24,-,-,-,D
4843,20170418:0900,14.3,24,5.5,24,3.2,24,-,-,-,D
4843,20170419:0900,15.4,24,3.0,24,2.3,24,-,-,-,D
4843,20170420:0900,18.4,24,7.9,24,5.5,24,-,-,-,D
4843,20170421:0900,15.4,24,3.5,24,1.8,24,-,-,-,D
4843,20170422:0900,17.2,24,3.5,24,2.2,24,-,-,-,D
4843,20170423:0900,18.5,24,5.8,24,3.1,24,-,-,-,D
4843,20170424:0900,21.3,24,5.8,24,4.0,24,-,-,-,D
4843,20170425:0900,17.3,24,8.2,24,6.3,24,-,-,-,D
4843,20170426:0900,16.4,24,10.7,24,8.2,24,-,-,-,D
4843,20170427:0900,14.7,24,7.5,24,5.8,24,-,-,-,D
4843,20170428:0900,19.8,24,9.4,24,5.5,24,-,-,-,D
4843,20170429:0900,25.6,24,7.3,24,4.9,24,-,-,-,D
4843,20170430:0900,16.1,24,1.3,24,0.3,24,-,-,-,D
4843,20170501:0900,12.8,24,4.8,24,3.4,24,-,-,-,D
4843,20170502:0900,12.0,24,-0.3,24,-2.2,24,-,-,-,D
4843,20170503:0900,17.7,24,5.3,24,5.1,24,-,-,-,D
4843,20170504:0900,21.2,24,1.1,24,-0.1,24,-,-,-,D
4843,20170505:0900,14.6,24,2.0,24,-0.1,24,-,-,-,D
4843,20170506:0900,14.7,24,0.7,24,-0.5,24,-,-,-,D
4843,20170507:0900,14.9,24,5.3,24,3.2,24,-,-,-,D
4843,20170508:0900,12.9,24,4.2,24,1.3,24,-,-,-,D
4843,20170509:0900,14.7,24,2.2,24,1.2,24,-,-,-,D
4843,20170510:0900,13.1,24,6.5,24,6.7,24,-,-,-,D
4843,20170511:0900,10.8,24,6.3,24,8.6,24,-,-,-,D
4843,20170512:0900,15.1,24,3.6,24,2.0,24,-,-,-,D
4843,20170513:0900,12.5,24,7.3,24,5.4,24,-,-,-,D
4843,20170514:0900,12.9,24,-2.0,24,-2.0,24,-,-,-,D
4843,20170515:0900,12.2,24,-0.5,24,-1.8,24,-,-,-,D
4843,20170516:0900,14.2,24,1.3,24,0.5,24,-,-,-,D
4843,20170517:0900,13.4,24,4.1,24,3.3,24,-,-,-,D
4843,20170518:0900,14.3,24,8.0,24,8.5,24,-,-,-,D
4843,20170519:0900,12.9,24,-1.1,24,-2.0,24,-,-,-,D
4843,20170520:0900,15.3,24,1.2,24,0.0,24,-,-,-,D
4843,20170521:0900,8.8,24,2.8,24,2.2,24,-,-,-,D
4843,20170522:0900,11.1,24,-2.1,24,-4.1,24,-,-,-,D
4843,20170523:0900,11.5,24,0.0,24,-0.9,24,-,-,-,D
4843,20170524:0900,17.5,24,6.9,24,3.2,24,-,-,-,D
4843,20170525:0900,12.9,24,3.4,24,-0.2,24,-,-,-,D
4843,20170526:0900,12.9,24,0.1,24,-1.1,24,-,-,-,D
4843,20170527:0900,10.6,24,3.8,24,4.9,24,-,-,-,D
4843,20170528:0900,12.0,24,0.0,24,-0.9,24,-,-,-,D
4843,20170529:0900,11.5,24,1.8,24,0.8,24,-,-,-,D
4843,20170530:0900,11.3,24,1.2,24,1.1,24,-,-,-,D
4843,20170531:0900,13.5,24,2.6,24,2.5,24,-,-,-,D
4843,20170601:0900,10.9,24,7.6,24,7.3,24,-,-,-,D
4843,20170602:0900,11.6,24,4.9,24,2.4,24,-,-,-,D
